# tracer: nop
#
# entries-in-buffer/entries-written: 30743/14866026   #P:28
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
   systemd-udevd-365   [019] ....    13.863817: tcp_packet: Some ptrs: init net ffffffff82319c80(2319), vmemmap ffffea0000000000 (0)
          <idle>-0     [003] ..s.   631.069968: mlx5e_skb_from_cqe_linear: 91e5fba93e) data ffff889faa1f6000 shinfo ffff889faa1f60c0[ffffea007ea87d80]
          <idle>-0     [003] ..s.   631.069984: mlx5e_sq_xmit: TX [VERBOSE]:ffff889faa1f60c0[ffffea007ea87d80]
          <idle>-0     [003] ..s.   631.070036: mlx5e_skb_from_cqe_linear: 91e5fcb4c8) data ffff88a03b238000 shinfo ffff88a03b2380c0[ffffea0080ec8e00]
          <idle>-0     [003] ..s.   631.070042: mlx5e_sq_xmit: TX [VERBOSE]:ffff88a03b2380c0[ffffea0080ec8e00]
          <idle>-0     [003] ..s.   632.093960: mlx5e_skb_from_cqe_linear: 922304986b) data ffff889faa1f6800 shinfo ffff889faa1f68c0[ffffea007ea87d80]
          <idle>-0     [003] ..s.   632.093975: mlx5e_sq_xmit: TX [VERBOSE]:ffff889faa1f68c0[ffffea007ea87d80]
          <idle>-0     [003] ..s.   632.094031: mlx5e_skb_from_cqe_linear: 922305af46) data ffff88a03b238800 shinfo ffff88a03b2388c0[ffffea0080ec8e00]
          <idle>-0     [003] ..s.   632.094037: mlx5e_sq_xmit: TX [VERBOSE]:ffff88a03b2388c0[ffffea0080ec8e00]
          <idle>-0     [012] ..s.   632.256887: mlx5e_sq_xmit: TX [NaN]:ffff888fa5a132c0[ffffea003e9684c0]
          <idle>-0     [006] ..s.   633.024890: mlx5e_sq_xmit: TX [NaN]:ffff888fa5a0f6c0[ffffea003e9683c0]
          <idle>-0     [006] ..s.   633.536910: mlx5e_sq_xmit: TX [NaN]:ffff888fa5a0f6c0[ffffea003e9683c0]
          <idle>-0     [001] ..s.   634.580452: mlx5e_skb_from_cqe_linear: 92b73999ab) data ffff88a00b79c800 shinfo ffff88a00b79c880[ffffea00802de700]
          <idle>-0     [001] ..s.   634.580463: mlx5e_sq_xmit: TX [NaN]:ffff889fe7da3ac0[ffffea007f9f68c0]
     ksoftirqd/6-43    [006] ..s.   634.816989: mlx5e_sq_xmit: TX [NaN]:ffff88a02f74d0c0[ffffea0080bdd340]
          <idle>-0     [001] ..s.   634.817038: mlx5e_skb_from_cqe_linear: 92c553a193) data ffff889faa149800 shinfo ffff889faa149880[ffffea007ea85240]
          <idle>-0     [006] ..s.   648.128827: mlx5e_sq_xmit: TX [NaN]:ffff888fa5a0f6c0[ffffea003e9683c0]
          <idle>-0     [006] ..s.   649.920824: mlx5e_sq_xmit: TX [NaN]:ffff888fa5a0f6c0[ffffea003e9683c0]
          <idle>-0     [016] ..s.   649.920829: mlx5e_sq_xmit: TX [NaN]:ffff888fa523c4c0[ffffea003e948f00]
          <idle>-0     [012] ..s.   651.968812: mlx5e_sq_xmit: TX [NaN]:ffff888fa5a132c0[ffffea003e9684c0]
          <idle>-0     [006] ..s.   678.592700: mlx5e_sq_xmit: TX [NaN]:ffff888fa5a0f6c0[ffffea003e9683c0]
          <idle>-0     [006] ..s.   684.736675: mlx5e_sq_xmit: TX [NaN]:ffff888fa5a0f6c0[ffffea003e9683c0]
          <idle>-0     [016] ..s.   684.736675: mlx5e_sq_xmit: TX [NaN]:ffff888fa523c4c0[ffffea003e948f00]
          <idle>-0     [012] ..s.   688.832655: mlx5e_sq_xmit: TX [NaN]:ffff888fa5a132c0[ffffea003e9684c0]
##### CPU 18 buffer started ####
          <idle>-0     [018] ..s.   729.240512: mlx5e_skb_from_cqe_linear: a8c16d56be) data ffff88902cf08000 shinfo ffff88902cf080c0[ffffea0040b3c200]
          <idle>-0     [018] ..s.   729.240538: mlx5e_sq_xmit: TX [VERBOSE]:ffff88902cf080c0[ffffea0040b3c200]
          <idle>-0     [018] ..s.   729.240613: mlx5e_skb_from_cqe_linear: a8c16ee3b0) data ffff889036d58000 shinfo ffff889036d580c0[ffffea0040db5600]
          <idle>-0     [018] ..s.   729.240623: mlx5e_sq_xmit: TX [VERBOSE]:ffff889036d580c0[ffffea0040db5600]
          <idle>-0     [018] ..s.   729.240659: mlx5e_skb_from_cqe_linear: a8c16f9a3d) data ffff88902cf08800 shinfo ffff88902cf088c0[ffffea0040b3c200]
          <idle>-0     [018] ..s.   729.240665: mlx5e_sq_xmit: TX [VERBOSE]:ffff88902cf088c0[ffffea0040b3c200]
          <idle>-0     [018] ..s.   729.240685: mlx5e_skb_from_cqe_linear: a8c16ffe80) data ffff88902ce47000 shinfo ffff88902ce47340[ffffea0040b391c0]
          <idle>-0     [018] ..s.   729.240690: mlx5e_sq_xmit: TX [VERBOSE]:ffff88902ce47340[ffffea0040b391c0]
          <idle>-0     [018] ..s.   729.240706: mlx5e_skb_from_cqe_linear: a8c1704ea1) data ffff889036d58800 shinfo ffff889036d588c0[ffffea0040db5600]
          <idle>-0     [018] ..s.   729.240711: mlx5e_sq_xmit: TX [VERBOSE]:ffff889036d588c0[ffffea0040db5600]
          <idle>-0     [018] ..s.   729.241156: mlx5e_skb_from_cqe_linear: a8c1772c30) data ffff88902540d000 shinfo ffff88902540d340[ffffea0040950340]
          <idle>-0     [018] ..s.   729.241173: mlx5e_sq_xmit: TX [VERBOSE]:ffff88902540d340[ffffea0040950340]
          <idle>-0     [018] ..s.   729.241185: mlx5e_skb_from_cqe_linear: a8c177a027) data ffff88902ce47800 shinfo ffff88902ce478c0[ffffea0040b391c0]
          <idle>-0     [018] ..s.   729.241191: mlx5e_sq_xmit: TX [VERBOSE]:ffff88902ce478c0[ffffea0040b391c0]
          <idle>-0     [018] ..s.   729.241638: mlx5e_skb_from_cqe_linear: a8c17e866c) data ffff88902ce46000 shinfo ffff88902ce46340[ffffea0040b39180]
          <idle>-0     [018] ..s.   729.241655: mlx5e_sq_xmit: TX [VERBOSE]:ffff88902ce46340[ffffea0040b39180]
          <idle>-0     [018] ..s.   729.243559: mlx5e_skb_from_cqe_linear: a8c19bd39b) data ffff88902540d800 shinfo ffff88902540db40[ffffea0040950340]
          <idle>-0     [018] ..s.   729.243575: mlx5e_sq_xmit: TX [VERBOSE]:ffff88902540db40[ffffea0040950340]
          <idle>-0     [018] ..s.   729.285983: mlx5e_skb_from_cqe_linear: a8c4232c36) data ffff88902ce46800 shinfo ffff88902ce468c0[ffffea0040b39180]
          <idle>-0     [018] ..s.   729.286000: mlx5e_sq_xmit: TX [VERBOSE]:ffff88902ce468c0[ffffea0040b39180]
##### CPU 5 buffer started ####
     ksoftirqd/5-38    [005] ..s.   734.236069: mlx5e_sq_xmit: Frags: ffffea007ea36600
     ksoftirqd/5-38    [005] ..s.   734.236070: mlx5e_sq_xmit: TX [NaN]:ffff889fae3f9ac0[ffffea007eb8fe40]
     ksoftirqd/5-38    [005] ..s.   734.236070: mlx5e_sq_xmit: Frags: ffffea007ea36640
     ksoftirqd/5-38    [005] ..s.   734.236070: mlx5e_sq_xmit: TX [NaN]:ffff889fae3f82c0[ffffea007eb8fe00]
     ksoftirqd/5-38    [005] ..s.   734.236070: mlx5e_sq_xmit: Frags: ffffea007ea36640
     ksoftirqd/5-38    [005] ..s.   734.236071: mlx5e_sq_xmit: TX [NaN]:ffff889fae3fbac0[ffffea007eb8fec0]
     ksoftirqd/5-38    [005] ..s.   734.236071: mlx5e_sq_xmit: Frags: ffffea007ea36680
     ksoftirqd/5-38    [005] ..s.   734.236071: mlx5e_sq_xmit: TX [NaN]:ffff889fae3fb2c0[ffffea007eb8fec0]
     ksoftirqd/5-38    [005] ..s.   734.236071: mlx5e_sq_xmit: Frags: ffffea007ea36680
     ksoftirqd/5-38    [005] ..s.   734.236072: mlx5e_sq_xmit: TX [NaN]:ffff889fae3fbec0[ffffea007eb8fec0]
     ksoftirqd/5-38    [005] ..s.   734.236072: mlx5e_sq_xmit: Frags: ffffea007ea366c0
     ksoftirqd/5-38    [005] ..s.   734.236072: mlx5e_sq_xmit: TX [NaN]:ffff889fae3f8ec0[ffffea007eb8fe00]
     ksoftirqd/5-38    [005] ..s.   734.236072: mlx5e_sq_xmit: Frags: ffffea007ea366c0
     ksoftirqd/5-38    [005] ..s.   734.236073: mlx5e_sq_xmit: TX [NaN]:ffff889fae3fc0c0[ffffea007eb8ff00]
     ksoftirqd/5-38    [005] ..s.   734.236073: mlx5e_sq_xmit: Frags: ffffea007ea36700
     ksoftirqd/5-38    [005] ..s.   734.236073: mlx5e_sq_xmit: TX [VERBOSE]:ffff889fa8d9ce40[ffffea007ea36700]
     ksoftirqd/5-38    [005] ..s.   734.236076: skb_release_data: a9eb2fe0e2) uarg in ffff889fa8c0c000 is read page ffff889fa8c0c640[ffffea007ea30300]-> ffffea007ea30300
     ksoftirqd/5-38    [005] ..s.   734.236076: skb_release_data: a9eb2fe30c) uarg in ffff889fa8c15000 is read page ffff889fa8c15640[ffffea007ea30540]-> ffffea007ea30540
     ksoftirqd/5-38    [005] ..s.   734.236077: mlx5e_skb_from_cqe_linear: a9eb2fe529) data ffff889fad6af000 shinfo ffff889fad6af0c0[ffffea007eb5abc0]
     ksoftirqd/5-38    [005] ..s.   734.236079: mlx5e_sq_xmit: TX [VERBOSE]:ffff889fad6af0c0[ffffea007eb5abc0]
     ksoftirqd/5-38    [005] ..s.   734.236079: mlx5e_skb_from_cqe_linear: a9eb2fee80) data ffff889fad6af800 shinfo ffff889fad6af8c0[ffffea007eb5abc0]
     ksoftirqd/5-38    [005] ..s.   734.236081: mlx5e_sq_xmit: TX [VERBOSE]:ffff889fad6af8c0[ffffea007eb5abc0]
     ksoftirqd/5-38    [005] ..s.   734.236083: mlx5e_skb_from_cqe_linear: a9eb2ff8fb) data ffff889fa8d9d000 shinfo ffff889fa8d9d640[ffffea007ea36740]
     ksoftirqd/5-38    [005] ..s.   734.236083: mlx5e_skb_from_cqe_linear: a9eb2ffe66) data ffff889fa8d9d800 shinfo ffff889fa8d9de40[ffffea007ea36740]
     ksoftirqd/5-38    [005] ..s.   734.236084: skb_gro_receive: pinfo = ffff889fa8d9d640[ffffea007ea36740] skbinfo ffff889fa8d9de40[ffffea007ea36740]
     ksoftirqd/5-38    [005] ..s.   734.236084: dev_gro_receive: same flow... 
     ksoftirqd/5-38    [005] ..s.   734.236084: mlx5e_skb_from_cqe_linear: a9eb300215) data ffff889fa8d9e000 shinfo ffff889fa8d9e640[ffffea007ea36780]
     ksoftirqd/5-38    [005] ..s.   734.236085: skb_gro_receive: pinfo = ffff889fa8d9d640[ffffea007ea36740] skbinfo ffff889fa8d9e640[ffffea007ea36780]
     ksoftirqd/5-38    [005] ..s.   734.236085: dev_gro_receive: same flow... 
     ksoftirqd/5-38    [005] ..s.   734.236085: mlx5e_skb_from_cqe_linear: a9eb3005b3) data ffff889fa8d9e800 shinfo ffff889fa8d9ee40[ffffea007ea36780]
     ksoftirqd/5-38    [005] ..s.   734.236086: skb_gro_receive: pinfo = ffff889fa8d9d640[ffffea007ea36740] skbinfo ffff889fa8d9ee40[ffffea007ea36780]
     ksoftirqd/5-38    [005] ..s.   734.236086: dev_gro_receive: same flow... 
     ksoftirqd/5-38    [005] ..s.   734.236086: mlx5e_skb_from_cqe_linear: a9eb300946) data ffff889fa8d9f000 shinfo ffff889fa8d9f640[ffffea007ea367c0]
     ksoftirqd/5-38    [005] ..s.   734.236086: skb_gro_receive: pinfo = ffff889fa8d9d640[ffffea007ea36740] skbinfo ffff889fa8d9f640[ffffea007ea367c0]
     ksoftirqd/5-38    [005] ..s.   734.236087: dev_gro_receive: same flow... 
     ksoftirqd/5-38    [005] ..s.   734.236087: mlx5e_skb_from_cqe_linear: a9eb300cd2) data ffff889fa8d9f800 shinfo ffff889fa8d9fe40[ffffea007ea367c0]
     ksoftirqd/5-38    [005] ..s.   734.236087: skb_gro_receive: pinfo = ffff889fa8d9d640[ffffea007ea36740] skbinfo ffff889fa8d9fe40[ffffea007ea367c0]
     ksoftirqd/5-38    [005] ..s.   734.236087: dev_gro_receive: same flow... 
     ksoftirqd/5-38    [005] ..s.   734.236088: mlx5e_skb_from_cqe_linear: a9eb30104b) data ffff889fa754c000 shinfo ffff889fa754c640[ffffea007e9d5300]
     ksoftirqd/5-38    [005] ..s.   734.236088: skb_gro_receive: pinfo = ffff889fa8d9d640[ffffea007ea36740] skbinfo ffff889fa754c640[ffffea007e9d5300]
     ksoftirqd/5-38    [005] ..s.   734.236088: dev_gro_receive: same flow... 
